WinPCT
0.78
0.756
0.732
0.683
0.659
0.646
0.646
0.634
0.634
0.598
0.561
0.561
0.549
0.549
0.549
0.537
0.524
0.512
0.512
0.451
0.39
0.378
0.317
0.317
0.305
0.268
0.268
0.244
0.232
0.207
0.829
0.78
0.744
0.634
0.622
0.61
0.61
0.61
0.61
0.598
0.585
0.585
0.585
0.537
0.5
0.488
0.488
0.476
0.476
0.451
0.439
0.439
0.415
0.366
0.317
0.293
0.256
0.232
0.22
0.207
0.78
0.695
0.695
0.683
0.622
0.61
0.61
0.598
0.598
0.598
0.585
0.573
0.573
0.573
0.573
0.561
0.561
0.561
0.5
0.476
0.439
0.39
0.378
0.329
0.305
0.268
0.256
0.256
0.183
0.171
0.707
0.695
0.659
0.646
0.622
0.622
0.585
0.573
0.549
0.549
0.537
0.537
0.537
0.524
0.512
0.512
0.5
0.5
0.488
0.488
0.463
0.451
0.427
0.427
0.415
0.402
0.329
0.268
0.268
0.207
0.78
0.683
0.646
0.646
0.634
0.622
0.622
0.622
0.598
0.585
0.585
0.561
0.561
0.537
0.537
0.524
0.524
0.512
0.451
0.439
0.427
0.415
0.402
0.366
0.329
0.305
0.293
0.28
0.268
0.244
0.722
0.708
0.681
0.667
0.653
0.653
0.639
0.583
0.583
0.583
0.569
0.569
0.556
0.542
0.528
0.5
0.472
0.472
0.458
0.458
0.431
0.431
0.431
0.375
0.319
0.306
0.306
0.292
0.278
0.236
0.767
0.736
0.732
0.681
0.667
0.63
0.616
0.611
0.611
0.611
0.603
0.589
0.573
0.486
0.473
0.466
0.466
0.452
0.451
0.431
0.417
0.354
0.347
0.338
0.318
0.303
0.299
0.297
0.292
0.231
