Season,Team,WINS,LOSSES,WinPCT,Percentile_Within_Season,Percentile_Across_All_Seasons,Win %
2011-12,San Antonio Spurs,50,16,0.758,98.3,97.4,75.8%
2011-12,Oklahoma City Thunder,47,19,0.712,93.3,94.0,71.2%
2011-12,Miami Heat,46,20,0.697,90.0,92.5,69.7%
2011-12,Indiana Pacers,42,24,0.636,86.7,82.1,63.6%
2011-12,Los Angeles Lakers,41,25,0.621,81.7,77.4,62.1%
2011-12,Memphis Grizzlies,41,25,0.621,81.7,77.4,62.1%
2011-12,Atlanta Hawks,40,26,0.606,75.0,73.6,60.6%
2011-12,Los Angeles Clippers,40,26,0.606,75.0,73.6,60.6%
2011-12,Boston Celtics,39,27,0.591,70.0,70.2,59.1%
2011-12,Denver Nuggets,38,28,0.576,66.7,64.6,57.6%
2011-12,Orlando Magic,37,29,0.561,63.3,60.7,56.1%
2011-12,Dallas Mavericks,36,30,0.545,56.7,56.7,54.5%
2011-12,New York Knicks,36,30,0.545,56.7,56.7,54.5%
2011-12,Utah Jazz,36,30,0.545,56.7,56.7,54.5%
2011-12,Philadelphia 76ers,35,31,0.53,50.0,52.9,53.0%
2011-12,Houston Rockets,34,32,0.515,46.7,50.4,51.5%
2011-12,Phoenix Suns,33,33,0.5,43.3,45.6,50.0%
2011-12,Milwaukee Bucks,31,35,0.47,40.0,39.4,47.0%
2011-12,Portland Trail Blazers,28,38,0.424,36.7,30.8,42.4%
2011-12,Minnesota Timberwolves,26,40,0.394,33.3,26.2,39.4%
2011-12,Detroit Pistons,25,41,0.379,30.0,24.6,37.9%
2011-12,Toronto Raptors,23,43,0.348,25.0,20.1,34.8%
2011-12,Golden State Warriors,23,43,0.348,25.0,20.1,34.8%
2011-12,New Jersey Nets,22,44,0.333,18.3,18.4,33.3%
2011-12,Sacramento Kings,22,44,0.333,18.3,18.4,33.3%
2011-12,Cleveland Cavaliers,21,45,0.318,11.7,16.2,31.8%
2011-12,New Orleans Hornets,21,45,0.318,11.7,16.2,31.8%
2011-12,Washington Wizards,20,46,0.303,6.7,12.8,30.3%
2011-12,Charlotte Bobcats,7,59,0.106,3.3,0.2,10.6%
2010-11,Chicago Bulls,62,20,0.756,100.0,96.9,75.6%
2010-11,San Antonio Spurs,61,21,0.744,96.7,96.2,74.4%
2010-11,Miami Heat,58,24,0.707,93.3,93.1,70.7%
2010-11,Los Angeles Lakers,57,25,0.695,88.3,91.5,69.5%
2010-11,Dallas Mavericks,57,25,0.695,88.3,91.5,69.5%
2010-11,Boston Celtics,56,26,0.683,83.3,89.5,68.3%
2010-11,Oklahoma City Thunder,55,27,0.671,80.0,87.4,67.1%
2010-11,Orlando Magic,52,30,0.634,76.7,81.4,63.4%
2010-11,Denver Nuggets,50,32,0.61,73.3,75.1,61.0%
2010-11,Portland Trail Blazers,48,34,0.585,70.0,67.6,58.5%
2010-11,New Orleans Hornets,46,36,0.561,65.0,60.7,56.1%
2010-11,Memphis Grizzlies,46,36,0.561,65.0,60.7,56.1%
2010-11,Atlanta Hawks,44,38,0.537,60.0,54.6,53.7%
2010-11,Houston Rockets,43,39,0.524,56.7,51.6,52.4%
2010-11,New York Knicks,42,40,0.512,53.3,48.9,51.2%
2010-11,Philadelphia 76ers,41,41,0.5,50.0,45.6,50.0%
2010-11,Phoenix Suns,40,42,0.488,46.7,43.1,48.8%
2010-11,Utah Jazz,39,43,0.476,43.3,41.0,47.6%
2010-11,Indiana Pacers,37,45,0.451,40.0,35.9,45.1%
2010-11,Golden State Warriors,36,46,0.439,36.7,34.0,43.9%
2010-11,Milwaukee Bucks,35,47,0.427,33.3,31.6,42.7%
2010-11,Charlotte Bobcats,34,48,0.415,30.0,29.7,41.5%
2010-11,Los Angeles Clippers,32,50,0.39,26.7,25.4,39.0%
2010-11,Detroit Pistons,30,52,0.366,23.3,22.7,36.6%
2010-11,New Jersey Nets,24,58,0.293,18.3,11.4,29.3%
2010-11,Sacramento Kings,24,58,0.293,18.3,11.4,29.3%
2010-11,Washington Wizards,23,59,0.28,13.3,9.7,28.0%
2010-11,Toronto Raptors,22,60,0.268,10.0,8.1,26.8%
2010-11,Cleveland Cavaliers,19,63,0.232,6.7,4.1,23.2%
2010-11,Minnesota Timberwolves,17,65,0.207,3.3,2.1,20.7%
